;Sc;Ga;Zr;Ru;Rh;Cd;In;Te;Hf;Re;Ir;Pd;La;As;Bi;Co;Sm;Sb;V;Ce;Ag;Ge;Mo;Y;Ta;Pt;Au;Zn;Hg;Pb;Cu;W;Mn;Sn;Cr;Ni;Nb;Mg;Al;Si;Ti;Fe
Ag;0.6956328561065815;0.871851469136268;0.7116237765515515;0.09650895717437785;0.11280237308600927;0.9726441618920902;0.9694789879103087;0.9209917435466335;0.7116237765515515;0.9120681507825805;0.09650895717437785;0.17945403852258138;0.5914604144217219;0.94536248770221;0.9243471217812678;0.548105624540376;0.7656746082105423;0.9318526890532125;0.7409295861653352;0.44961472690327153;1.0;0.851406060290718;0.9001080025595732;0.830692720443776;0.23587978234606374;0.08898115892533869;0.8293744280833619;0.9726441618920902;0.8200176168135891;0.9639671535949152;0.913745764381316;0.8173711113729984;0.17609322113009235;0.6145914177973987;0.147512997804682;0.18349245040527892;0.014046337211816967;0.8240537075079482;0.8705196303105621;0.8220970782494964;0.7116237765515515;0.3991704208776902
Ge;0.6534545838969698;0.8338345715386208;0.7175892408339044;0.08360647991932453;0.09532195989598052;0.862354609117594;0.8632573274201889;0.8441540272613791;0.7175892408339044;0.837443814361545;0.08360647991932453;0.14080049512746562;0.5595533422619116;0.8475733987776104;0.8523843709523188;0.46541943234341737;0.7370114772787625;0.8495624599942438;0.6941989665287841;0.4185780077525209;0.8514060602907182;1.0;0.8267952925646035;0.8104592580343464;0.17282661484489015;0.07814687171772028;0.7069719768714401;0.862354609117594;0.788494964201969;0.8665567425156109;0.8381570121833897;0.7849736655062429;0.156432046392741;0.5587448974733266;0.1117460647683049;0.13600756843496206;0.028854938011773367;0.795531259632564;0.8330059467209301;0.7896657069936552;0.7175892408339044;0.3676189759625752
Mo;0.6506207959127691;0.9095640724853551;0.7576406079144784;0.04505481972953768;0.05578398801304142;0.8794568029420662;0.8977277366184677;0.9586329200492992;0.7576406079144784;0.9964716696756833;0.04505481972953768;0.10225876944061492;0.5042743940279547;0.9070077517324585;0.9460918489898331;0.5175242112639725;0.7511535829898607;0.931019354614184;0.6888075156605001;0.32568629195305615;0.9001080025595732;0.8267952925646035;1.0;0.902544428624149;0.2015166239262419;0.04015879589789277;0.6209317939055922;0.8794568029420662;0.9154177295016108;0.9153263990680472;0.9570902626770539;0.9106171904106306;0.09859169717212181;0.6462934373403326;0.03727451855186554;0.1155320364979136;0.007575438729652233;0.9212131221374751;0.9090616540830594;0.9095063979795571;0.7576406079144784;0.26520176623240016
Y;0.7082861375844259;0.9420110732236459;0.8203792363084699;0.03303818358299272;0.04043764206239099;0.8546408338129672;0.8814350583369357;0.9125055473380856;0.8203792363084699;0.9110796099910194;0.03303818358299272;0.07199614634341565;0.6810709114462868;0.870622992812317;0.9606518001297787;0.4489346000152369;0.9038117989227019;0.9494309285568912;0.8291643456632689;0.5051474468882106;0.8306927204437761;0.8104592580343464;0.902544428624149;1.0;0.18456765607480488;0.029655116645287624;0.5754491720699743;0.8546408338129672;0.9480616535159594;0.9243906007696701;0.9042817162807613;0.9522331734859835;0.17265948660406988;0.7000891623079576;0.021432210077340162;0.08024060042362925;0.06701441543338046;0.9595166614217153;0.9418592175262123;0.9487849721491176;0.8203792363084699;0.44452252401743564
Ta;0.3095240184000055;0.18408099954250112;0.13552319711111593;0.036159194078942754;0.049114164419234004;0.20631667232429451;0.25018611080966796;0.27680212163507717;0.13552319711111593;0.22722951861920535;0.036159194078942754;0.10688964159738874;0.3001889210001719;0.3200221193306037;0.20954040004283864;0.43557060551788296;0.26748823273055383;0.20905466751200177;0.3012751891470607;0.29572381755534577;0.23587978234606374;0.17282661484489015;0.2015166239262419;0.1845676560748049;1.0;0.03030764695583575;0.2688938215915458;0.20631667232429451;0.14439132625078926;0.19760501069671652;0.2841051863117704;0.1581382330606293;0.07735667057964501;0.3968256938720049;0.04559258329582835;0.13427496958380833;0.5506356853229873;0.15731738853770277;0.18379353811971802;0.1754576695116958;0.13552319711111593;0.29304894601092263
Pt;0.29375061983824813;0.04161229426265252;0.29384719961630673;0.9989896398843036;0.9892590301505116;0.09389003202936469;0.09481946239001512;0.06603104607822581;0.29384719961630673;0.04854658541368215;0.9989896398843036;0.7702512102637795;0.09208287587289507;0.11423124857888821;0.0429711052598761;0.1760711038806845;0.0687633662725285;0.05432053584102035;0.14168671189803242;0.09983880723354924;0.08898115892533869;0.07814687171772029;0.04015879589789278;0.02965511664528763;0.03030764695583575;1.0;0.2327045493793329;0.09389003202936469;0.012575853847049772;0.05283593796704657;0.06788590248055613;0.017076871085723398;0.7477119485594067;0.07600380138153298;0.8381165530785626;0.19303120663384746;0.013447774925332836;0.016063662400822253;0.04123743989297882;0.02904765395799173;0.29384719961630673;0.09017964739913799
Au;0.6760568668406194;0.6481685316874369;0.5312372315353249;0.2460645065324095;0.27442373694186506;0.8082004229632078;0.793010083400262;0.7112290472693361;0.5312372315353249;0.6511342252812994;0.2460645065324095;0.37887904380279336;0.5585795984758797;0.7969854639690732;0.6805532691710982;0.5751234953782083;0.6173192241991786;0.7122970823039712;0.6470796305861356;0.4867368725149296;0.8293744280833619;0.7069719768714401;0.6209317939055922;0.5754491720699743;0.2688938215915458;0.2327045493793329;1.0;0.8082004229632078;0.5182919690815839;0.7720295365471784;0.7061342067268767;0.5230905447720386;0.26098471285383495;0.4468038358000914;0.28433297983638295;0.3417387425090998;0.07620013661504912;0.5356044823190055;0.6466203159555622;0.5462386166043462;0.5312372315353249;0.45701189480036564
Zn;0.7021599125045099;0.8833901662726377;0.7355224722763894;0.09994125522163444;0.11287201695343063;1.0;0.9919641838503465;0.8990819054201583;0.7355224722763894;0.88983543812644;0.09994125522163444;0.16087900599740823;0.6426639279887312;0.9456511527137716;0.9307483634592959;0.5013168000234883;0.8077645897691826;0.9349559692360089;0.7765307987925697;0.5029692974039252;0.9726441618920902;0.862354609117594;0.8794568029420661;0.8546408338129671;0.20631667232429451;0.0938900320293647;0.8082004229632077;1.0;0.8302837252879689;0.9757695936351422;0.8882685244502274;0.8261987403907243;0.21175205195114877;0.6201564237482032;0.17775359330604948;0.15231042445926782;0.006383580167339103;0.8329864625258987;0.881945720670863;0.8260451632479673;0.7355224722763894;0.4524988098214076
Hg;0.6406578758170121;0.9696512674151779;0.8115335416964047;0.015381280709598889;0.021606896910200558;0.830283725287969;0.8532620155479158;0.9334664760099128;0.8115335416964047;0.9272549952329793;0.015381280709598889;0.04962107879418675;0.5069944175081926;0.8573041959956451;0.9665218870411019;0.44639186290801147;0.7759660795146323;0.9479182581089327;0.7176856890823236;0.3158504721854039;0.8200176168135892;0.788494964201969;0.9154177295016106;0.9480616535159594;0.14439132625078926;0.01257585384704977;0.5182919690815838;0.830283725287969;1.0;0.9086738340756183;0.9281607811972834;0.9913443749324031;0.09171419032376558;0.6391499308420567;0.007594101616370623;0.06395547431872223;0.004178898871074636;0.9919643850976834;0.9698191409071781;0.9873281216404008;0.8115335416964047;0.25064760547894727
Pb;0.722438874116618;0.9474156959243041;0.7819972601569871;0.05874076218026788;0.0716477996980577;0.9757695936351422;0.97595788465678;0.9482721196539436;0.7819972601569871;0.9302389163576329;0.05874076218026788;0.12738157582205523;0.6540059634433665;0.9476576287875768;0.9789904936038707;0.5135558763210741;0.849848463430935;0.9781161656100279;0.8122727941803825;0.49600102014797776;0.9639671535949151;0.8665567425156109;0.9153263990680472;0.9243906007696701;0.19760501069671654;0.05283593796704657;0.7720295365471783;0.9757695936351422;0.9086738340756183;1.0;0.9386903814852681;0.9071184070709793;0.17226479519811358;0.6305059756945361;0.10306447841992705;0.14028377779555076;0.00511417334862159;0.9129123316479772;0.9465007660317698;0.9076133322627375;0.7819972601569871;0.4401090216373984
Cu;0.7149157884769372;0.949932091285877;0.7762364642839311;0.07578222417436625;0.09306301704214853;0.8882685244502274;0.9102410716317182;0.999544701828073;0.7762364642839311;0.9780353470034897;0.07578222417436625;0.16703497247531576;0.5235840752568498;0.9382446390680076;0.9676332448298872;0.6141750353981101;0.7632551618780598;0.9534706606192642;0.7216498063294455;0.34779381918216307;0.913745764381316;0.8381570121833897;0.9570902626770539;0.9042817162807613;0.28410518631177045;0.06788590248055615;0.7061342067268768;0.8882685244502274;0.9281607811972834;0.9386903814852681;1.0;0.9304336232576341;0.11776801250921382;0.6631591390506212;0.08170583826227429;0.18700099181266713;0.011725842151623141;0.935351642692;0.9496055571541713;0.9327107500193177;0.7762364642839311;0.28731722494258394
W;0.6496897412463589;0.9724648526436364;0.8126374331754599;0.020364607655471254;0.027643096996911254;0.8261987403907242;0.8520262057106424;0.9355528872019903;0.8126374331754599;0.9244603475358986;0.020364607655471254;0.060589681419210936;0.5138631474311697;0.8583225066601237;0.9687701874114037;0.45684940876085534;0.7820342464335228;0.9508317871536209;0.726304661554904;0.3225671471650019;0.8173711113729983;0.784973665506243;0.9106171904106307;0.9522331734859835;0.1581382330606293;0.017076871085723398;0.5230905447720386;0.8261987403907242;0.9913443749324031;0.9071184070709793;0.930433623257634;1.0;0.09364053038350356;0.6533865152235253;0.004721482194104861;0.07545380628346858;0.007695200421848818;0.9940650488082032;0.9726758018601671;0.9904549243658436;0.8126374331754599;0.257386115805502
Mn;0.3570624031363006;0.11434479446061062;0.3566560259488541;0.7431778016580682;0.7273904216378558;0.21175205195114877;0.203158384658949;0.12226904672863338;0.3566560259488541;0.1050229946025312;0.7431778016580682;0.518353621877036;0.39588188904248767;0.17361472422330315;0.1391526904747437;0.09832349919819809;0.3188732028690931;0.1502150790763569;0.3676796360153442;0.4158569734110798;0.17609322113009235;0.156432046392741;0.09859169717212181;0.17265948660406988;0.07735667057964501;0.7477119485594067;0.26098471285383495;0.21175205195114877;0.0917141903237656;0.17226479519811358;0.11776801250921382;0.09364053038350356;1.0;0.11302591749983057;0.6952375853810606;0.0618321091507159;0.0788900289148879;0.08994517740892596;0.11361801819537772;0.09298173116385187;0.3566560259488541;0.4092479517978176
Sn;0.7133741964056355;0.6285715201932319;0.5315736884496042;0.09782259438088683;0.14640394036364265;0.6201564237482032;0.7122902078793468;0.6661496304683057;0.5315736884496042;0.6569296961117602;0.09782259438088683;0.3681874356570544;0.46978109374997334;0.7869290645991794;0.6933407237211112;0.7066931371066872;0.6261892048289257;0.6984890241259208;0.5588926870533495;0.3393938044621271;0.6145914177973987;0.5587448974733266;0.6462934373403326;0.7000891623079575;0.3968256938720049;0.07600380138153298;0.4468038358000915;0.6201564237482032;0.6391499308420567;0.6305059756945361;0.6631591390506212;0.6533865152235254;0.11302591749983057;1.0;0.009161841208324672;0.49271463117206693;0.17052222195628522;0.6357138454711538;0.6281430539091837;0.6393957506010801;0.5315736884496042;0.2981610471570128
Cr;0.22274885998902794;0.06075765231521369;0.266674012212268;0.8330919828637096;0.8155259583166754;0.1777535933060495;0.15692227482734852;0.08200304464100623;0.266674012212268;0.050474561975321214;0.8330919828637096;0.5818929468664779;0.10624153066139198;0.12338686210891678;0.060969315566827074;0.09017899778913248;0.0731501484152424;0.07994515689835191;0.1296974270717464;0.11960906776234771;0.147512997804682;0.11174606476830491;0.03727451855186554;0.021432210077340162;0.04559258329582835;0.8381165530785625;0.28433297983638295;0.1777535933060495;0.007594101616370623;0.10306447841992705;0.0817058382622743;0.0047214821941048615;0.6952375853810605;0.009161841208324672;1.0;0.07056990979253307;0.0010471197125026662;0.020160661843452603;0.059943646463136574;0.014207959679020086;0.266674012212268;0.11222330629076344
Ni;0.6266478698919999;0.10911680005476929;0.08517032291440121;0.2369320176952931;0.33438181782478266;0.15231042445926782;0.2126823121318339;0.183171830579785;0.08517032291440121;0.13725923523890662;0.2369320176952931;0.7739049364181213;0.13259641525797558;0.35893572897155107;0.14609912454310478;0.8329731685842734;0.11601424088821333;0.15372834639793195;0.1388718596582103;0.12743265643021706;0.18349245040527895;0.13600756843496203;0.1155320364979136;0.08024060042362925;0.1342749695838083;0.19303120663384746;0.3417387425090998;0.15231042445926782;0.06395547431872223;0.14028377779555076;0.18700099181266713;0.07545380628346858;0.06183210915071591;0.49271463117206693;0.07056990979253305;1.0;0.05824207619022442;0.06640953598718438;0.10874957792853875;0.075316029970459;0.08517032291440121;0.12513520866199362
