Tag initial;Nom commercial;Famille;Composition;Normalized Composition;stoich_entropy;avg_radius;std_radius;max_r_ratio;min_r_ratio;delta;avg_eneg;std_eneg;range_eneg;avg_weight;std_weight;unique_elements;avg_Z;std_Z;avg_VEC;std_VEC;avg_d;std_d;frac_d;avg_s;avg_p;avg_f;std_s;std_p;std_f;avg_d_shell_n;std_d_shell_n;avg_group;std_group;avg_period;std_period;avg_mendeleev_no;std_mendeleev_no;avg_en_allen;std_en_allen;avg_IE1;std_IE1;avg_EA;std_EA;avg_melting_point;std_melting_point;DeltaH_mix;d_virt;Formation Enthalpy (eV/atom);Decomposition Energy Per Atom MP (eV/atom);Melting Point (K);Shear Modulus (GPa);Bulk Modulus (GPa);Density;Creep (LMP);Log_10(K_A);G/B ratio;Omega;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;SR
CM0210_M21_0;CMÃ‚Â 0210;Ni-based;Al0.11695B0.00077C0.00397Co0.09597Cr0.06870Hf0.00467Mo0.00310Ni0.66133Ta0.00526Ti0.00746W0.03174Zr0.00007;Al0.11695B0.00077C0.00397Co0.09597Cr0.0687Hf0.00467Mo0.0031Ni0.66134Ta0.00526Ti0.00746W0.03174Zr0.00007;1.18;134.0;5.85;1.16;0.522;0.0436;1.84;0.132;1.25;59.5;27.9;12.0;27.7;10.8;9.13;3.25;7.35;4.33;0.806;7.85;11.9;0.583;1.12;3.08;2.8;2.72;0.535;9.76;1.84;3.96;0.552;66.5;7.88;10.7;0.849;7.42;0.626;0.96;0.293;1740.0;480.0;0.177;41.0;-0.26665017;-0.0043806285;1606.3746;96.78526;182.70753;8.712285;30.627756;-0.21445277;0.5297278;0.61276543;0.78096396;0.54420704;0.40032887;0.0019512635829612;0.9594222353363204;0.55050766;0.052174337;0.0804556;0.3341664579533467;0.60561234;6.634088202645758
CMSX-4_W95_0;CMSX?4 (W95);Ni-based;Al0.12470Co0.10275Cr0.07582Hf0.00040Mo0.00399Ni0.62949Re0.00998Ta0.01995Ti0.01297W0.01995;Al0.1247Co0.10275Cr0.07582Hf0.0004Mo0.00399Ni0.62949Re0.00998Ta0.01995Ti0.01297W0.01995;1.26;134.0;4.12;1.15;0.93;0.0306;1.83;0.129;0.86;60.5;30.2;10.0;28.0;11.7;9.12;3.47;7.42;4.65;0.813;7.88;12.0;0.704;1.17;3.24;3.06;2.73;0.57;9.66;1.94;3.98;0.574;66.1;8.26;10.6;0.838;7.38;0.592;0.928;0.315;1760.0;505.0;-0.0209;41.4;-0.29734588;-0.007252749;1765.826;96.74115;182.29056;8.716488;31.478407;0.26983985;0.5306975;0.6450061;0.80424935;0.608984;0.3999926;0.0020998791329037;0.5231921246379141;0.54810697;0.021106336;0.09321728;0.4328660706289143;0.36826208;6.607776038640925
TMS-138TaRu_K04_0;TMS?138TaRu;Ni-based;Al0.13342Co0.06109Cr0.03462Hf0.00036Mo0.01876Ni0.65608Re0.01623Ru0.03180Ta0.02807W0.01958;Al0.13342Co0.06109Cr0.03462Hf0.00036Mo0.01876Ni0.65607Re0.01623Ru0.0318Ta0.02807W0.01958;1.26;134.0;4.37;1.16;0.932;0.0326;1.86;0.145;0.9;64.3;34.4;10.0;29.5;13.2;9.36;3.66;8.2;5.33;0.876;8.01;12.4;0.899;1.28;3.77;3.43;2.78;0.655;9.79;1.84;4.05;0.662;66.7;7.77;10.6;0.894;7.39;0.585;0.955;0.308;1800.0;573.0;-0.0681;44.2;-0.32302457;-0.007723082;1750.7488;102.96651;190.14783;9.241299;32.327816;0.14020535;0.54150766;0.5886621;0.8255823;0.60298413;0.358833;0.0003199278099447;0.6020323063145528;0.5212182;0.00902221;0.071978346;0.4328660706289143;0.4303531;9.561123681954742
PWA 1480_R06_0;PWAÃ‚Â 1480 (cast);Ni-based;Al0.11253Co0.05152Cr0.11679Ni0.64665Ta0.04027Ti0.01903W0.01321;Al0.11253Co0.05152Cr0.11679Ni0.64665Ta0.04027Ti0.01903W0.01321;1.19;135.0;4.32;1.07;0.926;0.032;1.82;0.138;0.41;60.7;30.4;7.0;28.1;11.7;9.07;3.44;7.4;4.59;0.815;7.87;12.1;0.749;1.19;3.24;3.15;2.77;0.557;9.45;2.13;3.99;0.571;65.2;8.92;10.6;0.916;7.35;0.573;0.933;0.319;1790.0;491.0;-0.163;41.0;-0.33538222;-0.006608771;1721.4757;92.09864;197.82695;8.718768;31.242428;0.50874436;0.46555153;0.52652025;0.7979834;0.5912478;0.3998102;0.0030113182127896;0.5782461964661771;0.69940895;0.00581571;0.05378889;0.3458104346684249;0.26551685;8.05735276510363
PWA 1480_D97_0;PWAÃ‚Â 1480Ã‚Â (Re);Ni-based;Al0.11260Co0.05150Cr0.11680Ni0.64660Ta0.04030Ti0.01900W0.01320;Al0.1126Co0.0515Cr0.1168Ni0.6466Ta0.0403Ti0.019W0.0132;1.19;135.0;4.32;1.07;0.926;0.032;1.82;0.139;0.41;60.7;30.4;7.0;28.1;11.7;9.07;3.44;7.4;4.59;0.815;7.87;12.1;0.749;1.19;3.24;3.15;2.77;0.557;9.45;2.13;3.99;0.571;65.2;8.92;10.6;0.916;7.35;0.573;0.933;0.319;1790.0;491.0;-0.163;41.0;-0.33538222;-0.006071551;1721.4757;92.59267;197.82695;8.718768;31.242428;0.49598283;0.4680488;0.52652025;0.7979834;0.5912478;0.3998102;0.0030113182127896;0.5782461964661771;0.69413275;0.00581571;0.05378889;0.3458104346684249;0.270524;8.05735276510363
Alloy #11_C00_0;AlloyÃ‚Â #11;Ni-based;Al0.13692B0.00023C0.00256Co0.13217Cr0.05921Hf0.00052Mo0.00995Ni0.58797Re0.01488Ru0.00975Ta0.02178Ti0.00515W0.01892;Al0.13692B0.00023C0.00256Co0.13217Cr0.05921Hf0.00052Mo0.00995Ni0.58796Re0.01488Ru0.00975Ta0.02178Ti0.00515W0.01892;1.38;134.0;5.42;1.16;0.522;0.0405;1.84;0.139;1.25;61.6;32.3;13.0;28.4;12.5;9.12;3.6;7.59;5.0;0.832;7.9;12.1;0.785;1.25;3.53;3.22;2.71;0.625;9.73;1.91;3.99;0.626;66.5;8.19;10.6;0.872;7.4;0.641;0.912;0.315;1770.0;538.0;0.0383;42.5;-0.2773143;-0.006078666;1605.9784;102.2881;186.15573;8.778556;30.957708;0.051447883;0.54947597;0.6888962;0.79022545;0.54404324;0.39503762;0.0020998791329037;0.8866043544213023;0.5013101;0.038623724;0.11349589;0.5978686676144834;0.4742987;9.410486340753515
FSX-414_0;FSX?414;Co-based;B0.00055C0.01231Co0.52182Cr0.32984Fe0.01059Ni0.10076W0.02413;B0.00055C0.01231Co0.52182Cr0.32984Fe0.01059Ni0.10076W0.02413;1.13;136.0;7.82;1.03;0.515;0.0575;1.81;0.134;0.89;59.0;20.5;7.0;27.0;7.88;8.3;2.42;6.75;3.0;0.813;7.72;12.2;0.338;0.917;2.18;2.15;3.01;0.309;8.09;1.67;4.02;0.384;59.5;6.82;10.5;0.787;7.53;0.658;0.719;0.171;1930.0;337.0;0.0777;39.1;-0.11937368;-0.011776569;1548.296;93.54759;204.43431;8.68695;30.291443;0.86108106;0.45759243;1.2633717;0.77122486;0.5201125;0.40235794;0.1969309867554593;0.8243952184370745;0.7158719;0.74755937;0.69356906;0.2792832821241375;0.15159288;6.591258666399963
X-40_0;X?40;Co-based;C0.02437Co0.53635Cr0.28707Mn0.00799Ni0.10472Si0.01563W0.02388;C0.02437Co0.53634Cr0.28707Mn0.00799Ni0.10472Si0.01563W0.02388;1.21;135.0;10.9;1.04;0.52;0.0814;1.83;0.155;1.0;58.2;21.3;7.0;26.6;8.29;8.29;2.47;6.64;3.16;0.801;7.68;12.0;0.334;1.01;2.47;2.14;2.93;0.328;8.36;1.88;3.98;0.456;60.6;8.01;10.6;0.918;7.62;0.758;0.739;0.191;1880.0;338.0;0.483;39.8;-0.1594499;-0.021198442;1532.6927;99.002495;209.96516;8.6676035;30.349627;0.7595855;0.47151867;1.0025903;0.7729313;0.5136186;0.4039096;0.2044260232729515;0.0919113806339741;0.6867166;0.47710937;0.38058907;0.3697261989731406;0.17958362;7.058605465091572
Wl-52_0;WI?52;Co-based;C0.02283Co0.65145Cr0.24612Fe0.02182Mn0.00277Nb0.01312Si0.00542W0.03646;C0.02283Co0.65146Cr0.24612Fe0.02182Mn0.00277Nb0.01312Si0.00542W0.03646;1.02;135.0;10.4;1.08;0.519;0.077;1.83;0.149;1.0;60.9;25.4;8.0;27.6;9.8;8.44;2.7;6.99;3.69;0.829;7.81;12.3;0.51;1.09;2.83;2.62;3.0;0.398;8.21;1.7;4.03;0.504;60.1;7.1;10.6;0.933;7.67;0.734;0.677;0.135;1910.0;395.0;0.395;41.2;-0.09898701;-0.011621891;1530.0603;95.94037;206.21112;8.773752;30.323872;0.9735498;0.4652531;1.3590573;0.7721771;0.5125225;0.39542034;0.1115316814762919;0.1653877458996496;0.700036;0.86804825;0.7850406;0.1794103173117458;0.12486996;9.425274915943431
MAR-M 509_0;MAR?MÃ‚Â 509;Co-based;C0.02987Co0.55796Cr0.27021Ni0.10186Ta0.01156Ti0.00250W0.02276Zr0.00328;C0.02987Co0.55796Cr0.27021Ni0.10186Ta0.01156Ti0.0025W0.02276Zr0.00328;1.19;135.0;11.6;1.15;0.52;0.0864;1.83;0.167;1.22;60.0;24.7;8.0;27.3;9.54;8.48;2.66;6.93;3.51;0.817;7.75;12.1;0.48;1.12;2.83;2.55;2.98;0.379;8.3;1.82;4.01;0.51;60.4;7.59;10.6;1.03;7.65;0.798;0.729;0.185;1890.0;361.0;0.296;40.8;-0.12330651;-0.012452705;1492.6608;99.50694;202.48537;8.803225;30.400911;0.68153316;0.4914278;1.2417363;0.774428;0.496942;0.39307418;0.0933383716370981;0.0426353311382976;0.642383;0.72187775;0.67010975;0.3458104346684249;0.20374238;7.781990562955287
TAZ-8A_0;TAZ?8A;Co-based;Al0.13459B0.00022C0.00605Cr0.06984Mo0.02523Nb0.01629Ni0.70122Ta0.02676W0.01317Zr0.00663;Al0.13459B0.00022C0.00605Cr0.06984Mo0.02523Nb0.01629Ni0.70122Ta0.02676W0.01317Zr0.00663;1.08;134.0;7.1;1.15;0.521;0.0528;1.84;0.156;1.22;60.3;28.6;10.0;28.0;11.2;8.89;3.35;7.58;4.56;0.852;7.85;12.0;0.559;1.18;3.39;2.74;2.71;0.598;9.74;2.07;3.98;0.606;66.5;8.76;10.6;0.991;7.34;0.664;0.979;0.291;1760.0;516.0;0.0749;41.2;-0.2544407;-0.0052973963;1629.8772;95.83626;181.62292;8.776261;30.460426;-0.6137396;0.5276661;0.59634745;0.776156;0.5539052;0.39522043;0.0100770832835714;0.951897421996402;0.55560386;0.07231218;0.07458776;0.2302629962698383;0.7733771;8.455324603675262
TAZ-8B_0;TAZ?8B;Co-based;Al0.13411B0.00022C0.00603Co0.05117Cr0.06959Mo0.02514Nb0.00974Ni0.65761Ta0.02666W0.01312Zr0.00661;Al0.13411B0.00022C0.00603Co0.05117Cr0.06959Mo0.02514Nb0.00974Ni0.65761Ta0.02666W0.01312Zr0.00661;1.24;134.0;7.04;1.15;0.521;0.0524;1.84;0.155;1.22;60.1;28.4;11.0;27.9;11.1;8.88;3.33;7.49;4.52;0.844;7.84;12.0;0.557;1.17;3.35;2.74;2.7;0.592;9.72;2.04;3.97;0.599;66.4;8.65;10.6;0.968;7.36;0.669;0.956;0.296;1750.0;509.0;-0.00872;41.2;-0.29015046;-0.0063377544;1613.2157;95.63365;181.07962;8.8536005;30.342064;-0.1253661;0.5281304;0.5942896;0.77271;0.5470337;0.38907543;0.0107321343885239;0.9594222353363204;0.5544571;0.026378721;0.073880665;0.4070732481604469;0.5623567;9.857422865098837
WAZ-20_0;WAZ?20;Co-based;Al0.14967C0.01035Ni0.76217W0.06759Zr0.01022;Al0.14967C0.01035Ni0.76217W0.06759Zr0.01022;0.768;133.0;7.68;1.17;0.526;0.0577;1.85;0.144;1.22;62.3;35.1;5.0;28.8;13.5;9.5;3.82;7.84;5.26;0.825;7.95;12.0;0.946;1.37;3.86;3.51;2.67;0.687;10.2;1.71;3.98;0.686;68.3;7.41;10.7;0.949;7.43;0.719;1.02;0.27;1730.0;596.0;0.243;43.9;-0.23516741;-0.00630459;1529.6553;91.80038;179.45056;8.9878435;31.638992;-0.2000004;0.5115636;0.4306108;0.80842865;0.5123539;0.3784934;9.510650971552972e-05;0.8176494631603616;0.5949252;0.11643621;0.033995304;0.0507976509920742;0.5986878;4.095118147686897
Alloy I_Z10_0;AlloyÃ‚Â I;Co-based;Al0.12570Co0.08380Cr0.11650Mo0.00430Ni0.62670Ta0.01640W0.02660;Al0.1257Co0.0838Cr0.1165Mo0.0043Ni0.6267Ta0.0164W0.0266;1.2;135.0;4.16;1.08;0.929;0.0309;1.83;0.128;0.66;59.4;28.3;7.0;27.6;11.0;8.97;3.33;7.26;4.4;0.81;7.81;11.9;0.602;1.13;3.08;2.84;2.71;0.548;9.62;1.96;3.96;0.548;66.0;8.36;10.6;0.796;7.35;0.598;0.942;0.289;1770.0;500.0;0.186;40.6;-0.32391322;-0.009569589;1714.6453;97.16565;195.21678;8.672299;30.909733;-0.1402521;0.49773204;0.5475631;0.78889686;0.5884937;0.40353283;0.0059942403963683;0.5349077668752262;0.6277741;0.00874747;0.05940219;0.357665637281652;0.56966984;7.284058390795331
Alloy II_Z10_0;AlloyÃ‚Â II;Co-based;Al0.12530Co0.08360Cr0.11620Mo0.00750Ni0.62460Ta0.01630W0.02650;Al0.1253Co0.0836Cr0.1162Mo0.0075Ni0.6246Ta0.0163W0.0265;1.21;135.0;4.2;1.08;0.929;0.0312;1.83;0.129;0.66;59.6;28.3;7.0;27.6;11.0;8.96;3.33;7.29;4.41;0.814;7.81;11.9;0.599;1.13;3.09;2.83;2.72;0.549;9.61;1.97;3.97;0.55;65.9;8.38;10.6;0.802;7.35;0.597;0.942;0.289;1770.0;503.0;0.191;40.6;-0.3275485;-0.009280954;1712.0137;97.16565;195.26204;8.678405;30.94018;-0.22701135;0.49761668;0.54516035;0.78974074;0.5874312;0.40304306;0.0064061107905891;0.5466751656675609;0.6280437;0.0076998696;0.05873448;0.3697261989731406;0.6115953;7.284058390795331
Alloy III_Z10_0;AlloyÃ‚Â III;Co-based;Al0.12312Co0.08208Cr0.11411Mo0.02503Ni0.61361Ta0.01602W0.02603;Al0.12312Co0.08208Cr0.11411Mo0.02503Ni0.61361Ta0.01602W0.02603;1.26;135.0;4.38;1.08;0.928;0.0325;1.84;0.135;0.66;60.2;28.4;7.0;27.9;11.0;8.9;3.32;7.42;4.49;0.834;7.83;12.0;0.589;1.13;3.17;2.81;2.74;0.556;9.55;2.01;3.99;0.562;65.7;8.51;10.6;0.834;7.35;0.593;0.938;0.287;1790.0;520.0;0.217;40.9;-0.34081256;-0.008599378;1718.8392;98.15841;196.45969;8.704481;31.07869;-0.4663341;0.49963638;0.547769;0.7935484;0.59018546;0.4009535;0.0094579053630182;0.5980650504875851;0.6233135;0.004765513;0.059459735;0.4328660706289143;0.7176163;7.284058390795331
HAYNES 1002_0;HaynesÃ‚Â 1002;Fe-based;Al0.00662C0.02975Co0.47796Cr0.25197Fe0.01600Mn0.00759Ni0.16234Si0.00848Ta0.01218Ti0.00249W0.02268Zr0.00196;Al0.00662C0.02975Co0.47795Cr0.25196Fe0.016Mn0.00759Ni0.16234Si0.00848Ta0.01218Ti0.00249W0.02268Zr0.00196;1.44;134.0;11.8;1.15;0.521;0.0881;1.83;0.168;1.22;59.6;25.1;12.0;27.2;9.72;8.49;2.74;6.89;3.63;0.811;7.74;12.1;0.488;1.13;2.89;2.57;2.94;0.393;8.45;1.94;4.0;0.525;61.1;8.19;10.6;1.03;7.64;0.798;0.75;0.231;1870.0;373.0;0.946;40.8;-0.13701376;-0.011170404;1517.176;108.69456;207.9415;8.822098;30.449774;0.6103838;0.522717;1.37449;0.7758474;0.5071562;0.39157438;0.0891772630437672;0.0320451004289062;0.5677875;0.6292432;0.7977757;0.6823099644452278;0.22780138;7.788957938344195
NX188_0;NX188;Fe-based;Al0.16960C0.00190Mo0.10731Ni0.72119;Al0.1696C0.0019Mo0.10731Ni0.72119;0.788;134.0;5.93;1.08;0.521;0.0442;1.89;0.149;0.94;57.2;17.9;4.0;26.9;7.68;8.37;2.73;7.38;3.98;0.881;7.76;11.8;0.0;0.871;2.87;0.0;2.59;0.576;10.1;1.81;3.93;0.529;68.0;7.88;10.6;0.902;7.31;0.641;0.99;0.281;1720.0;503.0;0.321;39.3;-0.26846337;-0.005072713;1696.4199;95.13953;182.90912;8.50593;30.274576;-0.043013915;0.5201464;0.42922184;0.7707285;0.58111846;0.41694918;0.14978818977016;0.96957559243215;0.5740846;0.049624648;0.03376799;0.0568609170034714;0.52149373;2.7523543054240633
