Creep strength Temp ©;Creep strength Stress (Mpa);Creep strength 1 Time for 1% creep (hours);Creep strength 1 Rupture life (hours);Creep strength 1 Elongation / rupture strain (%);LMP;Normalized Composition;DeltaH_mix;1-mr
1050;160.0;50.0;165.0;24.0;29.39373126;Al0.12865Co0.09610Cr0.07261Hf0.00034Mo0.00381Ni0.63187Re0.00916Ta0.02288Ti0.01272W0.02186;-0.027783;0
750;800.0;3.5;145.0;17.5;22.67107947;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;800.0;1.8;137.0;19.7;22.64586514;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;800.0;1.5;105.0;17.5;22.52767665;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;800.0;;313.0;9.6;23.01294186;Al0.12000C0.00074Co0.05000Cr0.09620Ni0.66656Ta0.00910Ti0.02700W0.03040;-0.015662;0.000739999999999963
750;750.0;11.0;;;#NOMBRE!;Al0.12320Co0.11490Cr0.07103Hf0.00041Ni0.61335Re0.01587Ta0.02313Ti0.01800W0.02009;-0.091949;0
750;750.0;;;;#NOMBRE!;Al0.12485Co0.11644Cr0.07198Hf0.00042Ni0.58967Re0.01608Ru0.01852Ta0.02344Ti0.01825W0.02036;-0.24272;0
760;800.0;15.0;426.0;10.3;23.37618012;Al0.13239Co0.08082Cr0.06870Ni0.67455Re0.01439W0.02915;0.31868;0
760;800.0;11.0;121.1;12.0;22.8118879;Al0.12838Co0.07837Cr0.06662Ni0.69837W0.02826;0.27594;0
760;810.0;14.5;241.0;10.5;23.1206236;Al0.14102Co0.09716Cr0.04902Mo0.01361Ni0.63684Re0.00704Ta0.02446W0.03084;0.14785;0
950;290.0;;;;#NOMBRE!;Al0.13872Co0.02495Cr0.07984Ni0.66866Re0.01497Ru0.03493Ta0.02794W0.00998;-0.042035;0
950;290.0;;;;#NOMBRE!;Al0.13800Co0.10500Cr0.08000Ni0.59000Re0.01500Ru0.03500Ta0.02700W0.01000;-0.033989;0
950;290.0;;;;#NOMBRE!;Al0.13700Co0.02500Cr0.08000Ni0.65500Re0.02500Ru0.03500Ta0.02800W0.01500;-0.023853;0
950;290.0;;;;#NOMBRE!;Al0.13700Co0.10500Cr0.08000Ni0.57500Re0.02500Ru0.03500Ta0.02800W0.01500;-0.021861;0
1010;235.0;;21.0;19.0;27.35640736;Al0.12312Co0.08208Cr0.11411Mo0.02503Ni0.61361Ta0.01602W0.02603;0.21711;0
760;810.0;;243.0;10.0;23.12433128;Al0.13807Co0.09482Cr0.04777Mo0.01294Ni0.64531Re0.00667Ta0.02402W0.03040;0.14386;0
1100;137.0;258.0;335.0;5.3;30.92688652;Al0.13210Co0.03183Cr0.02405Hf0.00011Mo0.00261Nb0.00067Ni0.74121Re0.02015Ta0.02765Ti0.00261W0.01701;0.013702;0
1100;137.0;343.0;412.0;7.0;31.05025388;Al0.13639Co0.06245Cr0.03479Hf0.00035Mo0.01885Ni0.67909Re0.01641Ru0.01234Ta0.01930W0.02002;0.04353;0
1100;137.0;310.0;440.0;;31.08946052;Al0.13585Co0.06220Cr0.03525Hf0.00035Ir0.00986Mo0.01910Ni0.68160Re0.01663Ta0.01921W0.01994;0.0048948;0
1100;137.0;292.0;405.0;11.9;31.04003575;Al0.13171Co0.06030Cr0.03417Hf0.00036Mo0.01852Nb0.00683Ni0.66172Re0.01602Ru0.03139Ta0.01964W0.01933;-0.10965;0
1100;137.0;457.0;540.0;7.8;31.21157663;Al0.13342Co0.06109Cr0.03462Hf0.00036Mo0.01876Ni0.65608Re0.01623Ru0.03180Ta0.02807W0.01958;-0.068142;0
1100;137.0;698.0;965.0;11.7;31.557756;Al0.13335Co0.06105Cr0.03460Hf0.00036Mo0.01875Ni0.65683Re0.02381Ru0.03179Ta0.01988W0.01957;0.0040171;0
1100;137.0;833.0;1254.0;11.5;31.71396252;Al0.13716Co0.06280Cr0.03559Hf0.00036Mo0.02594Ni0.64361Re0.01679Ru0.03788Ta0.01975W0.02013;0.0012799;0
760;600.0;;126.0;13.7;22.82968277;Al0.05408B0.00104C0.00327Co0.14095Cr0.19321Mo0.01755Nb0.00006Ni0.52775Ti0.05745W0.00458Zr0.00006;-0.33479;0.00431000000000004
760;600.0;;123.0;13.0;22.81887198;Al0.05371B0.00103C0.00325Co0.14186Cr0.19508Mo0.02265Nb0.00006Ni0.52408Ti0.05822Zr0.00006;-0.35993;0.00427999999999995
760;641.2;;120.0;7.0;22.80779423;Al0.12267B0.00079C0.00472Co0.09675Cr0.09145Mo0.03497Nb0.00012Ni0.62403Ta0.01240Ti0.01148Zr0.00062;0.14562;0.00551000000000001
760;641.2;;40.5;11.4;22.32050104;Al0.12178B0.00077C0.00464Co0.09734Cr0.08676Mo0.04760Nb0.00018Ni0.62869Ti0.01164Zr0.00061;0.2485;0.00541000000000003
760;600.0;;100.8;6.6;22.72957473;Al0.07001B0.00058C0.00756Co0.08105Cr0.17543Mo0.01029Nb0.00525Ni0.59361Ta0.00536Ti0.04219W0.00805Zr0.00062;-0.16757;0.00814000000000004
760;600.0;;42.0;14.9;22.33681652;Al0.07061B0.00057C0.00793Co0.08272Cr0.17458Mo0.01810Nb0.00603Ni0.59495Ta0.00526Ti0.03863Zr0.00061;-0.16393;0.00849999999999995
760;600.0;;70.0;7.6;22.56598628;Al0.07302B0.00057C0.00841Co0.08096Cr0.17488Mo0.01550Nb0.00568Ni0.59243Ti0.04022W0.00772Zr0.00062;-0.079984;0.00897999999999999
760;600.0;;72.0;6.4;22.57862447;Al0.07121B0.00058C0.00802Co0.08242Cr0.17342Mo0.01530Nb0.00012Ni0.59570Ta0.00526Ti0.03955W0.00780Zr0.00062;-0.042289;0.00860000000000005
1050;160.0;40.0;191.0;20.0;29.47780714;Al0.12600Co0.10000Cr0.07500Hf0.00030Mo0.00400Ni0.62870Re0.01000Ta0.02200Ti0.01300W0.02100;-0.028229;0
1050;160.0;4.2;315.0;12.0;29.76526486;Al0.11300Co0.03100Cr0.07600Mo0.02600Ni0.68900Ti0.04000W0.02500;-0.015512;0
1050;160.0;25.0;111.0;16.0;29.1659623;Al0.11300Co0.03100Cr0.07600Mo0.01300Ni0.70200Ti0.04000W0.02500;-0.039685;0
1050;160.0;7.8;101.0;18.0;29.11171718;Al0.11300Co0.03100Cr0.07600Mo0.02600Ni0.70100Ti0.04000W0.01300;-0.051774;0
1050;160.0;23.0;130.0;24.5;29.25674706;Al0.12600Co0.10000Cr0.07500Hf0.00030Mo0.00400Ni0.62870Re0.01000Ta0.02200Ti0.01300W0.02100;-0.028229;0
1050;160.0;4.0;27.0;23.0;28.35369426;Al0.11300Co0.03100Cr0.07600Mo0.02600Ni0.68900Ti0.04000W0.02500;-0.015512;0
