;Ag;Al;As;Au;Bi;Cd;Co;Cr;Cu;Fe;Ga;Ge;Hf;Hg;In;Ir;Mg;Mn;Mo;Nb;Ni;Pb;Pd;Pt;Re;Rh;Ru;Sb;Sc;Si;Sn;Ta;Te;Ti;V;W;Y;Zn;Zr
Pt;6.167054072e-06;0;1.660248357e-07;0.0002282365163;1.098720689e-08;1.016018197e-09;3.965715381e-05;0.005055195349;0.0007202956454;0;3.221884967e-13;2.546991031e-09;0;3.593349375e-11;7.393572042e-09;0.02805996433;0;0;9.493239141e-06;3.319112993e-14;0.0008055731599;7.710761805e-08;0.05238822328;0.155170982;5.870760853e-08;0.1071812815;0.01390058839;4.442233548e-08;1.714909857e-09;0;9.41224466e-10;1.541575311e-12;1.281963564e-07;0;0;7.752398832e-13;2.264570121e-17;3.725414531e-07;0
Re;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0
Sc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Sn;0;0;0.0007268448057;0;0.0001985976744;0;0;0;0;0;0;0;0;0;0.00062761736;0;0;0;0;3.2300532e-05;0;0;0;0;0;0;0;0.001369287328;0;0;0.9159691473;0.001500211134;1.371458044e-07;0;0;0.0007544383305;2.203806252e-08;0;0
Ta;0;0;1.805727105e-07;0;4.93383458e-08;0;0;0;0;0;0;0;0;0;1.559212736e-07;0;0;0;0;0.0002445043753;0;0;0;0;0;0;0;3.401770534e-07;0;0;0.0002275575616;0.6495536763;3.407163322e-11;0;0;1.874278706e-07;5.474996384e-12;0;0
Te;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ti;0;0;0;0;0;0;0;0;0;0;0;0;0.01124910847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.689871639e-06;0;0;0;0;0.006488195466;0;0;4.862038547e-07;0;0.9821802235
V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0
W;0;0;0;0;0.001123709477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007747729935;0;0;0;0;7.760012322e-07;0;0;0.8769968468;0;0;0
Y;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7266619397;0;0
Zn;0.01663848914;0;0.0001588615964;0.0007367069317;3.604340428e-06;0.001836295708;3.287827412e-06;0;0.000768022044;0;5.82305864e-07;0.004603292258;0;9.91532338e-08;0.00325517366;0;0;0;1.012225602e-05;2.352765054e-09;0;0.0004795110778;0;0;6.259754281e-08;0;0;9.831592766e-05;2.383564614e-11;0;6.671903116e-05;1.092751144e-07;2.48058793e-07;0;0;5.495315495e-08;1.605248588e-12;0.6733110427;0
Zr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
