;Sc;Ga;Zr;Ru;Rh;Cd;In;Te;Hf;Re;Ir;Pd;La;As;Bi;Co;Sm;Sb;V;Ce;Ag;Ge;Mo;Y;Ta;Pt;Au;Zn;Hg;Pb;Cu;W;Mn;Sn;Cr;Ni;Nb;Mg;Al;Si;Ti;Fe
Annual Production;15;610;1450000;40;23.4;21113;990;640;75;46.5;8.25;210.4;0;60000;20000;230000;0;83000;79000;0;26500;155;260000;12000;2400;189.8;3644;12000000;1200;4500000;27000000;78400;20000000;295000;41000000;3600000;83000;940000;89800000;3800000;180000;1575900000
Price USD per ton;98 000;450 000;28 000;15 110 970;247 562 700;4 100;240 000;78 000;6 200 000;1 070 000;147 894 600;48 226 500;nd;4 408;9 036;35 264;nd;19 000;20 387;3 280;752 333;1 400 000;55 600;33 000;231 989;32 151 000;61 086 900;2 645;6 000;1 960;8 596;32 787;5;26 448;12 122;22 000;25 000;3 200;2 865;4 188;1 490;170
