s_ij*rho_ij;Sc;Ga;Zr;Ru;Rh;Cd;In;Te;Hf;Re;Ir;Pd;As;Bi;Co;Sb;V;Ag;Ge;Mo;Y;Ta;Pt;Au;Zn;Hg;Pb;Cu;W;Mn;Sn;Cr;Ni;Nb;Mg;Al;Si;Ti;Fe
Ge;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.41191975793287e-09;0.0;0.000934097115602;0.0;0.0;0.0;1.36297871315e-05;0.0;0.0;0.0;0.0;0.0;0.53837730302579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Y;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.726661939698086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ta;0.0;0.0;0.0;0.0;0.0;0.0;1.56082205467574e-07;3.4106799752946096e-11;0.0;0.0;0.0;0.0;1.80759085937826e-07;4.93914559755645e-08;0.0;3.40528162142426e-07;0.0;0.0;0.0;0.0;5.480647321337469e-12;0.650223964143182;0.0;0.0;0.0;0.0;0.0;0.0;1.4878318725453802e-09;0.0;0.0002277924317641;0.0;0.0;0.0002447567369046;0.0;0.0;0.0;0.0;0.0
Pt;1.71491961932362e-09;3.22190330795517e-13;0.0;0.0139006675182667;0.107181891646559;1.01602398039168e-09;7.3936141303681504e-09;1.28197086173542e-07;0.0;5.87079427193401e-08;0.0280601240594798;0.0523885214965649;1.66025780797781e-07;1.0987755811602e-08;3.96573795586e-05;4.44225883593707e-08;0.0;6.16709245661618e-06;9.169219905918321e-10;9.49329318108321e-06;2.26458301251967e-17;1.54158375602042e-12;0.155171865309547;0.0002282378155651;3.72515404104037e-07;3.59336983024839e-11;7.71080569859378e-08;0.0007202662277898;6.147665752791681e-15;0.0;9.41229823975693e-10;0.0050552241255002;0.0008055777456421;3.3191318873003704e-14;0.0;0.0;0.0;0.0;0.0
Au;4.8836807324963605e-14;5.6916003600493196e-11;0.0;0.0;0.0;1.79484047157398e-07;3.19967234454382e-07;3.24016779074185e-10;0.0;1.28255979291337e-10;0.0;0.0;2.39249023616e-05;5.08530675141064e-10;6.736422957597411e-09;2.01724869214e-05;0.0;0.0008997945409361;1.61977347951566e-07;2.07394699463467e-08;1.60415738026921e-16;1.0920080853082898e-11;0.0;0.847895577747259;6.5806096753e-05;1.41256733202991e-08;5.10977072412541e-08;1.57352559324536e-06;4.35480763312641e-14;0.0;6.667367724268791e-09;0.0;0.0;2.35116570408943e-13;0.0;0.0;0.0;0.0;0.0
Zn;2.3887011172475098e-11;5.83560714010884e-07;0.0;0.0;0.0;0.0018402528653966;0.0032621884526193;2.4859335159159e-07;0.0;6.27324384635371e-08;0.0;0.0;0.00015920393791;3.61226756245424e-06;3.29491257239485e-06;9.85277952628e-05;0.0;0.0166743534060775;0.0016607563926604;1.01440691448e-05;1.6087078458307699e-12;1.09510575218704e-07;0.0;0.0007382945110023;0.674710984225568;9.93669057680879e-08;0.0004805444084078;0.0007696412907568;4.36716078650499e-10;0.0;6.68628084812e-05;0.0;0.0;2.3578351859604602e-09;0.0;0.0;0.0;0.0;0.0
Hg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Pb;5.41025846023667e-11;3.70418948392911e-10;0.0;0.0;0.0;1.1681124428e-06;2.26699397596953e-06;2.0039982503e-05;0.0;1.42085045080782e-07;0.0;0.0;0.0003448227989941;0.0027527928425302;7.46277066302902e-06;0.0151474918832684;0.0;0.035873249995035;1.05417589247557e-06;2.29756814345e-05;1.4286435791592102e-15;9.725294778769229e-11;0.0;7.4291451924e-05;0.0004282771736435;2.2159029289503e-07;0.458386444825054;0.001743189331892;3.87834014296991e-13;0.0;5.93787879314645e-08;0.0;0.0;2.0939203522057e-12;0.0;0.0;0.0;0.0;0.0
Cu;2.3799114482965e-08;2.35522551936242e-10;0.0;0.0;0.0;7.42718008015388e-07;6.59714350247559e-06;0.0001364685979495;0.0;6.2501602817e-05;0.0;0.0;5.10009864729e-05;1.16468575845e-05;0.0032827883302597;2.48504377486e-05;0.0;0.0046804320998223;6.70274016657892e-07;0.0101067421603708;2.25054561272783e-14;1.5320279890751501e-09;0.0;0.0109186910479872;0.0002723104023435;2.11798756239065e-08;8.04688086584e-05;0.766809252831305;6.1095584096378294e-12;0.0;9.35395452145602e-07;0.0;0.0;3.2985576884274195e-11;0.0;0.0;0.0;0.0;0.0
W;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.21984556700224e-06;0.0;0.0;0.0;0.0;0.0;0.0133516366156505;0.0;0.0920525258573111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0826287028409895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sn;0.0;0.0;0.0;0.0;0.0;0.0;0.0006374469800767;1.39293755091858e-07;0.0;0.0;0.0;0.0;0.0007382285066213;0.0002017170013641;0.0;0.0013907328381124;0.0;0.0;0.0;0.0;2.23832183392487e-08;0.0015237068196873;0.0;0.0;0.0;0.0;0.0;0.0;6.07637450518335e-06;0.0;0.930314876557326;0.0;0.0;3.28064165983e-05;0.0;0.0;0.0;0.0;0.0
Cr;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ni;1.22842180533282e-06;1.7578644134781698e-12;0.0;0.0002235675641174;0.0042952342663321;5.5434078172398706e-09;4.88575983193036e-08;1.00433372509899e-06;0.0;4.59975940254041e-07;0.0004512972903327;0.0331563387835181;1.90479238359e-05;8.57269655842511e-08;0.0197372364076982;1.87653419271849e-07;0.0;3.48801817809e-05;5.002709216062411e-09;7.43798241739e-05;1.66023353456014e-16;1.13018115649935e-11;0.0014160688850108;0.0001020380911554;2.03243707137357e-06;1.5955271606157201e-10;5.9260967285211e-07;0.0056432761908335;4.50703762486291e-14;0.0;6.900437338147691e-09;4.61330124284e-05;0.717924712579813;2.43335485361283e-13;0.0;0.0;0.0;0.0;0.0
Nb;0.0;0.0;0.0;0.0;0.0;0.0;1.03116022843518e-09;2.25327258280874e-13;0.0;0.0;0.0;0.0;1.19418853538755e-09;3.26305646911746e-10;0.0;2.24970614947097e-09;0.0;0.0;0.0;0.0;3.6208006716159803e-14;0.0042957176917851;0.0;0.0;0.0;0.0;0.0;0.0;9.82939117864881e-12;0.0;1.50491528018851e-06;0.0;0.0;0.945881869915154;0.0;0.0;0.0;0.0;0.0
Mg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Al;0.0;0.0010437518115709;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.99761509202e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.998195903983168;0.0;0.0;0.0
Si;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Ti;5.68987163942359e-06;0.0;0.98218022347193;0.0;0.0;0.0;0.0;0.0;0.0112491084707992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.86203854696428e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0064881954663835;0.0
Fe;2.18588434014543e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023763552520687;0.0;0.0;0.0;5.67107435217e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3457413369573e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.995926823772079
eta(lambda*);0.42444657343565967;0.4244463734724993;0.5361567669527945;0.4275174802983579;0.448464157613234;0.4247337825379567;0.4249815923260688;0.4244844125997525;0.42572494683074596;0.4246455728932631;0.4306466567395308;0.45569512947813406;0.46687118962735286;0.4799380376580708;0.5081955655010172;0.5664300376681508;0.5672976608645464;0.5733982640350855;0.672380189337981;0.7781360190521928;0.9080074683296923;0.8582671631068838;0.5646875703087267;0.973027167572846;0.8806912539583981;0.9866214410215929;0.7327725922674824;0.941352425705012;0.5010499035150329;0.9987810752056365;0.9938420493664969;1.0020778672907598;0.9146250929707321;0.9964158802954058;1.0;0.9999967951661531;1.0;0.733770047685739;0.9999852357273541
M_elast * eta(lambda*);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013670853884344022;0.03828343754944294;0.04736891309247708;0.07590181801047408;0.11328600753363016;0.1418244152161366;0.1367529180579599;0.2689520757351924;0.4193339769778399;0.6598144681968026;0.5585365143643807;0.1843251219279099;0.8256238044477813;0.6090612333952768;0.8879592969194336;0.3686479420262263;0.7451096685824169;0.09995429123242398;0.9688176429494674;0.927429729226298;0.9820363099449445;0.6903354843393387;0.9461800875836128;1.0;0.9986867648623264;1.0;0.5361552993073219;0.9973121411368762
